VALUE,pop_densit,roads_dist,deforested,FARC_raste,NP_raster_,mines_dist,wells_dist,slope_ext,elevation_,y,x,rivers_dis,slope_ext_,layer,path
1.00000000,9.90900,0.00833,0.00308,1.00000,0.00000,0.92045,0.20344,0.00000,5.00000,6.97457,-71.10049,0.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
4.00000000,91.74600,0.09014,0.00714,1.00000,0.00000,0.61717,1.74420,89.91292,68.00000,6.96624,-76.10729,29529.64648,65805.70313,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.11577,0.00000,1.00000,0.00000,0.02357,0.44363,87.30106,22.00000,6.96624,-74.59942,26683.32813,2121.78394,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.01667,0.00389,1.00000,0.00000,0.41675,0.17951,89.14595,4.00000,6.96624,-74.09124,10000.00000,6710.02197,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.04167,0.00248,0.00000,0.00000,0.53677,0.54224,89.92151,28.00000,6.96624,-72.13351,2000.00000,73015.14063,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.19436,0.01798,1.00000,0.00000,1.05676,2.19358,89.86444,10.00000,6.95791,-76.59881,2000.00000,42278.37109,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,64.42600,0.05833,0.01059,1.00000,1.00000,0.41742,0.05069,0.00000,4.00000,6.95791,-73.58306,20396.07813,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.60576,0.00428,1.00000,0.00000,1.82515,1.15365,0.00000,4.00000,6.94957,-70.11746,25059.92969,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.08858,0.02078,1.00000,1.00000,0.42435,1.60028,89.88087,140.00000,6.48297,-76.11562,31622.77539,48099.99609,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.00000,0.00445,0.00000,0.00000,0.09317,0.21098,89.62545,21.00000,6.48297,-74.59942,20099.75000,15301.63672,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.04167,0.00382,1.00000,0.00000,0.28346,0.17401,88.09086,7.00000,6.48297,-71.60033,16000.00000,3000.39331,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.00833,0.00222,0.00000,0.00000,0.30935,0.62238,89.74923,68.00000,6.47464,-75.09926,18973.66602,22850.93555,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
3.00000000,64.42600,0.26154,0.00062,0.00000,1.00000,0.54083,0.22236,89.68169,12.00000,6.47464,-73.65804,42755.11719,18002.35938,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,64.42600,0.08498,0.00993,0.00000,0.00000,0.31369,0.54804,89.91306,61.00000,6.47464,-73.09988,86092.96875,65906.77344,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.47733,0.02254,1.00000,0.00000,0.89213,2.07553,89.82745,5.00000,6.46630,-76.59881,10000.00000,33213.49609,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,64.42600,0.04167,0.00174,0.00000,0.00000,0.56230,0.21246,88.79228,4.00000,6.46630,-74.08291,0.00000,4744.78516,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,64.42600,0.03727,0.00468,0.00000,0.00000,0.40552,0.86160,89.91301,86.00000,6.46630,-72.63335,46173.58594,65880.75781,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.26900,0.02013,1.00000,0.00000,0.80039,0.36065,0.00000,5.00000,6.46630,-71.08383,20099.75000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.44292,0.01453,1.00000,0.00000,1.27524,0.75984,0.00000,4.00000,6.46630,-70.60897,24000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.01667,0.00348,0.00000,0.00000,0.10000,1.08131,89.80996,105.00000,6.45797,-75.59078,20000.00000,30158.80078,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.21425,0.00220,1.00000,1.00000,0.21098,0.32745,89.95876,138.00000,6.45797,-72.09185,22360.67969,138953.65625,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.65373,0.01315,1.00000,0.00000,1.80048,1.25180,0.00000,4.00000,6.44964,-70.08413,17088.00781,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.90004,0.03470,1.00000,0.00000,1.45375,2.64365,89.80901,8.00000,6.43298,-77.17363,23323.80664,30007.29102,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.18801,0.00704,1.00000,0.00000,4.32708,3.45183,0.00000,3.00000,6.00803,-67.58490,10000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,54.31300,0.01667,0.02395,0.00000,0.00000,0.24735,0.03727,0.00000,6.00000,5.99970,-74.54110,2000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.00833,0.01538,0.00000,0.00000,0.10035,1.02689,89.90686,92.00000,5.98303,-75.59078,39597.98047,61531.73438,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
4.00000000,54.31300,0.00833,0.01011,0.00000,0.00000,0.25509,0.46622,89.76839,61.00000,5.97470,-73.59139,56568.54297,24745.94922,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,64.42600,0.13969,0.00841,0.00000,1.00000,0.27951,0.20035,89.91255,143.00000,5.97470,-73.10821,84380.08594,65540.17188,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,6.79800,0.17159,0.00336,1.00000,0.00000,0.28443,0.32882,89.78780,41.00000,5.97470,-72.10018,10770.32910,27003.53906,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,6.79800,0.61605,0.03173,1.00000,0.00000,0.93838,0.40423,0.00000,5.00000,5.97470,-71.10049,15620.50000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
